Date,Open,High,Low,Close,Adj Close,Volume
2/5/2009,2.1829,2.2089,2.1673,2.2003,2.2003,-
2/6/2009,2.1996,2.2185,2.1954,2.2053,2.2053,-
2/9/2009,2.2124,2.2347,2.2027,2.2216,2.2216,-
2/10/2009,2.2216,2.2285,2.1803,2.1914,2.1914,-
2/11/2009,2.1915,2.192,2.1542,2.1613,2.1613,-
2/12/2009,2.161,2.1715,2.1372,2.1563,2.1563,-
2/13/2009,2.1557,2.1959,2.1539,2.1801,2.1801,-
2/16/2009,2.1508,2.1682,2.1441,2.164,2.164,-
2/17/2009,2.1637,2.1827,2.1576,2.1778,2.1778,-
2/18/2009,2.1793,2.1825,2.1587,2.1805,2.1805,-
2/19/2009,2.18,2.1999,2.1764,2.1782,2.1782,-
2/20/2009,2.1784,2.2139,2.1755,2.2091,2.2091,-
2/23/2009,2.2021,2.2354,2.1986,2.215,2.215,-
2/24/2009,2.2154,2.2315,2.1956,2.2086,2.2086,-
2/25/2009,2.2087,2.2265,2.1683,2.1769,2.1769,-
2/26/2009,2.1775,2.2078,2.1736,2.2045,2.2045,-
2/27/2009,2.2048,2.2173,2.1851,2.205,2.205,-
3/2/2009,2.203,2.2171,2.1739,2.1844,2.1844,-
3/3/2009,2.1844,2.1901,2.1695,2.1793,2.1793,-
3/4/2009,2.1792,2.195,2.1741,2.1933,2.1933,-
3/5/2009,2.1929,2.2055,2.1856,2.196,2.196,-
3/6/2009,2.1965,2.2089,2.1704,2.1729,2.1729,-
3/9/2009,2.1854,2.1867,2.1298,2.139,2.139,-
3/10/2009,2.1389,2.141,2.1045,2.1168,2.1168,-
3/11/2009,2.1164,2.1221,2.1024,2.1178,2.1178,-
3/12/2009,2.119,2.1355,2.0996,2.1277,2.1277,-
3/13/2009,2.1267,2.1673,2.1267,2.1537,2.1537,-
3/16/2009,2.1519,2.1827,2.1492,2.1556,2.1556,-
3/17/2009,2.1552,2.168,2.1406,2.1468,2.1468,-
3/18/2009,2.1454,2.1656,2.1201,2.1597,2.1597,-
3/19/2009,2.1587,2.1982,2.1522,2.1899,2.1899,-
3/20/2009,2.1894,2.1984,2.1805,2.1845,2.1845,-
3/23/2009,2.1888,2.212,2.1828,2.1951,2.1951,-
3/24/2009,2.1939,2.2303,2.1934,2.2213,2.2213,-
3/25/2009,2.2219,2.2236,2.1889,2.1939,2.1939,-
3/26/2009,2.1936,2.2056,2.1746,2.1812,2.1812,-
3/27/2009,2.1804,2.1847,2.1598,2.1737,2.1737,-
3/29/2009,2.1664,2.1737,2.1481,2.1691,2.1691,-
3/30/2009,2.1684,2.186,2.1667,2.1826,2.1826,-
3/31/2009,2.1831,2.1981,2.1735,2.1951,2.1951,-
4/1/2009,2.1964,2.2134,2.1937,2.2104,2.2104,-
4/2/2009,2.2106,2.2372,2.2029,2.2314,2.2314,-
4/5/2009,2.2369,2.2474,2.2124,2.2216,2.2216,-
4/6/2009,2.2213,2.2335,2.2078,2.2288,2.2288,-
4/7/2009,2.2296,2.2347,2.2217,2.2291,2.2291,-
4/8/2009,2.2284,2.2327,2.2124,2.2222,2.2222,-
4/9/2009,2.2219,2.2274,2.214,2.2193,2.2193,-
4/12/2009,2.2221,2.2527,2.2147,2.2464,2.2464,-
4/13/2009,2.2486,2.252,2.2241,2.2362,2.2362,-
4/14/2009,2.2353,2.2566,2.2294,2.2499,2.2499,-
4/15/2009,2.2501,2.2551,2.2242,2.2335,2.2335,-
4/16/2009,2.2344,2.2356,2.2145,2.2209,2.2209,-
4/19/2009,2.2218,2.2251,2.1891,2.1934,2.1934,-
4/20/2009,2.1943,2.2127,2.1848,2.2082,2.2082,-
4/21/2009,2.2074,2.2107,2.1713,2.1823,2.1823,-
4/22/2009,2.1823,2.2069,2.1758,2.2045,2.2045,-
4/23/2009,2.2038,2.2049,2.1702,2.191,2.191,-
4/26/2009,2.1865,2.1946,2.1676,2.1915,2.1915,-
4/27/2009,2.1911,2.1999,2.1787,2.1882,2.1882,-
4/28/2009,2.1889,2.2017,2.1826,2.1952,2.1952,-
4/29/2009,2.1955,2.2021,2.175,2.1926,2.1926,-
4/30/2009,2.1929,2.2104,2.1832,2.2072,2.2072,-
5/3/2009,2.2109,2.2137,2.197,2.2088,2.2088,-
5/4/2009,2.2106,2.2273,2.2078,2.2208,2.2208,-
5/5/2009,2.2215,2.2327,2.2109,2.2306,2.2306,-
5/6/2009,2.2307,2.2329,2.1978,2.2111,2.2111,-
5/7/2009,2.2104,2.2257,2.2,2.2224,2.2224,-
5/10/2009,2.2229,2.2254,2.1995,2.2169,2.2169,-
5/11/2009,2.2179,2.2324,2.205,2.2298,2.2298,-
5/12/2009,2.2291,2.2364,2.2087,2.2208,2.2208,-
5/13/2009,2.2206,2.2313,2.2105,2.2291,2.2291,-
5/14/2009,2.2293,2.2411,2.2197,2.235,2.235,-
5/17/2009,2.2316,2.2471,2.2257,2.2457,2.2457,-
5/18/2009,2.2464,2.2684,2.2393,2.2631,2.2631,-
5/19/2009,2.2632,2.299,2.2593,2.2989,2.2989,-
5/20/2009,2.2989,2.3107,2.2638,2.3,2.3,-
5/21/2009,2.3005,2.3049,2.2794,2.2964,2.2964,-
5/24/2009,2.2989,2.3034,2.2897,2.2996,2.2996,-
5/25/2009,2.2996,2.3114,2.2914,2.3077,2.3077,-
5/26/2009,2.308,2.3344,2.3059,2.3223,2.3223,-
5/27/2009,2.3216,2.324,2.307,2.3131,2.3131,-
5/28/2009,2.3137,2.3377,2.3119,2.3335,2.3335,-
5/31/2009,2.334,2.3762,2.3304,2.3695,2.3695,-
6/1/2009,2.37,2.3838,2.3534,2.381,2.381,-
6/2/2009,2.381,2.3921,2.3473,2.3579,2.3579,-
6/3/2009,2.3571,2.3681,2.3304,2.3344,2.3344,-
6/4/2009,2.3345,2.3443,2.3118,2.3262,2.3262,-
6/7/2009,2.3242,2.3425,2.3081,2.3334,2.3334,-
6/8/2009,2.3341,2.379,2.3341,2.3697,2.3697,-
6/9/2009,2.3703,2.3832,2.3612,2.3802,2.3802,-
6/10/2009,2.3798,2.4067,2.3728,2.4028,2.4028,-
6/11/2009,2.4032,2.4043,2.3731,2.3867,2.3867,-
6/14/2009,2.3851,2.3911,2.373,2.3799,2.3799,-
6/15/2009,2.3807,2.4019,2.3687,2.3964,2.3964,-
6/16/2009,2.3967,2.3978,2.367,2.3809,2.3809,-
6/17/2009,2.3814,2.3904,2.3582,2.3797,2.3797,-
6/18/2009,2.3807,2.4094,2.3743,2.4091,2.4091,-
6/21/2009,2.3984,2.4052,2.3801,2.3851,2.3851,-
6/22/2009,2.3851,2.3934,2.3657,2.3889,2.3889,-
6/23/2009,2.3889,2.4122,2.3844,2.3945,2.3945,-
6/24/2009,2.3942,2.3986,2.3688,2.3831,2.3831,-
6/25/2009,2.3831,2.4113,2.3829,2.4103,2.4103,-
6/28/2009,2.4008,2.4091,2.3909,2.4051,2.4051,-
6/29/2009,2.4039,2.4196,2.3799,2.3835,2.3835,-
6/30/2009,2.3827,2.3896,2.3738,2.3801,2.3801,-
7/1/2009,2.38,2.3843,2.3652,2.3749,2.3749,-
7/2/2009,2.3757,2.386,2.3688,2.3731,2.3731,-
